Attribute,GeneralizedAttribute
Clean,Ambiance & Environment
Comfortable and relaxing environment,Ambiance & Environment
Convenient location,Service & Operations
Delicious food,Product Quality & Variety
Diversified menu,Product Quality & Variety
Feel I belong here,Brand Perception & Value
Friendly staff,Service & Operations
Good coffee taste,Product Quality & Variety
Good ice-blended taste,Product Quality & Variety
Good music,Ambiance & Environment
Good other beverages (other than coffee, tea & ice-blended),Product Quality & Variety
Good place for relaxing,Ambiance & Environment
Good place for socializing,Social & Functional Purpose
Good place for socializing with colleagues,Social & Functional Purpose
Good place for socializing with family,Social & Functional Purpose
Good place for socializing with friends,Social & Functional Purpose
Good place for studying,Social & Functional Purpose
Good place for working / business meeting,Social & Functional Purpose
Good place for working / studying,Social & Functional Purpose
Good tea taste,Product Quality & Variety
Good value for money,Brand Perception & Value
Have new product regularly,Product Quality & Variety
High speed of internet,Service & Operations
Nice environment design,Ambiance & Environment
Popular brand,Brand Perception & Value
Quick speed of service,Service & Operations
Recommended by others,Brand Perception & Value
Trusted brand,Brand Perception & Value
